Home	Away
1	15
13	12
7	3
2	0
9	4
19	16
14	11
18	10
8	17
6	5
GW 0
19	5
17	2
9	1
10	8
0	15
13	11
6	16
14	12
18	3
4	7
GW 1
6	13
1	11
12	3
19	15
18	9
7	2
4	10
5	17
0	8
14	16
GW 2
13	8
0	10
7	9
16	12
14	15
3	19
18	2
6	4
17	1
5	11
GW 3
15	16
17	7
10	2
11	18
5	12
4	8
3	14
13	9
1	0
19	6
GW 4
7	13
3	9
10	15
6	1
19	18
17	4
0	11
8	16
2	14
12	5
GW 5
16	9
0	17
10	12
11	8
18	14
13	19
15	2
4	5
7	1
6	3
GW 6
13	7
3	15
2	12
10	4
5	1
14	19
0	18
17	9
11	6
16	8
GW 7
15	8
1	17
4	9
0	2
6	12
11	13
5	7
3	10
18	19
16	14
GW 8
9	14
3	12
16	13
2	17
7	0
5	4
8	10
18	6
11	1
15	19
GW 9
6	15
1	10
8	3
19	7
18	13
2	5
0	4
14	9
11	17
12	16
GW 10
17	6
9	2
11	14
4	18
3	1
8	12
0	16
13	5
19	10
15	7
GW 11
13	4
10	11
9	15
6	19
18	16
0	3
14	7
5	8
1	12
17	11
GW 12
5	18
10	16
3	13
17	15
14	1
6	2
9	8
11	19
12	4
0	7
GW 13
0	6
16	1
11	9
3	17
14	10
19	8
13	2
12	15
7	5
18	4
GW 14
8	18
9	6
1	5
3	11
10	0
4	12
2	13
19	17
16	15
7	14
GW 15
11	10
16	17
0	1
12	9
13	18
7	6
15	3
19	14
4	2
8	5
GW 16
17	8
6	0
3	2
1	19
12	7
15	18
11	16
10	13
5	9
4	14
GW 17
9	13
16	10
2	6
19	12
1	8
15	14
18	11
5	3
17	0
7	4
GW 18
10	1
19	4
6	8
9	3
5	13
16	0
7	11
18	17
12	2
14	15
GW 19
0	14
2	8
13	17
18	1
10	3
9	7
4	6
11	15
12	19
16	5
GW 20
2	3
16	11
9	18
8	4
13	14
7	17
10	6
5	0
19	1
15	12
GW 21
11	12
17	5
13	1
18	15
19	9
7	10
2	16
14	3
8	0
6	5
GW 22
4	1
15	0
9	5
8	11
17	10
18	7
12	13
3	16
14	6
2	19
GW 23
16	7
4	3
5	19
10	14
8	6
12	0
1	18
17	11
15	9
2	13
GW 24
7	16
9	19
5	10
13	0
18	8
2	15
1	6
11	3
12	17
14	4
GW 25
1	4
0	19
3	5
9	17
12	8
16	18
6	11
13	15
2	7
14	10
GW 26
12	14
11	7
10	9
4	0
17	13
5	6
19	2
8	15
3	18
0	2
GW 27
2	18
7	15
4	13
12	11
10	17
16	19
1	14
0	9
3	8
2	17
GW 28
10	7
17	18
11	5
2	1
6	9
8	13
19	3
14	0
15	4
12	16
GW 29
17	3
4	11
1	2
12	10
18	0
8	7
15	6
5	14
19	6
9	2
GW 30
1	13
5	2
12	18
8	14
3	0
4	16
15	11
7	0
14	0
16	19
GW 31
10	18
15	17
6	7
12	1
11	0
3	4
14	2
9	16
8	19
12	16
GW 32
19	11
15	10
1	16
3	6
2	4
9	0
14	18
7	5
5	13
8	14
GW 33
19	13
16	4
2	11
0	12
10	8
6	12
3	14
9	8
1	12
18	1
GW 34
5	16
0	13
1	7
17	19
18	12
6	4
7	2
5	14
15	4
8	7
GW 35
13	10
6	14
0	5
7	8
4	19
17	12
18	9
7	2
14	6
19	9
GW 36
14	13
10	5
7	18
2	9
17	16
19	0
12	3
18	7
14	0
4	6
GW 37
